distance,angle,R,G,B,T
0.6,0,0.004,0.083,0.913,100
0.6,15,0.003,0.08,0.917,100
0.6,30,0.002,0.076,0.922,100
0.6,45,0.002,0.072,0.926,100
0.6,60,0.001,0.073,0.926,100
0.7,0,0.006,0.088,0.906,100
0.7,15,0.006,0.086,0.908,100
0.7,30,0.004,0.082,0.914,100
0.7,45,0.003,0.08,0.917,100
0.7,60,0.002,0.078,0.92,100
0.8,0,0.007,0.091,0.902,100
0.8,15,0.005,0.091,0.904,100
0.8,30,0.005,0.09,0.905,100
0.8,45,0.004,0.089,0.907,100
0.8,60,0.002,0.086,0.912,100
0.9,0,0.008,0.092,0.9,100
0.9,15,0.007,0.091,0.902,100
0.9,30,0.007,0.089,0.904,100
0.9,45,0.004,0.085,0.911,100
0.9,60,0.003,0.081,0.916,100
1,0,0.008,0.093,0.899,100
1,15,0.006,0.092,0.902,100
1,30,0.006,0.088,0.906,100
1,45,0.005,0.087,0.908,100
1,60,0.003,0.082,0.915,100
1.1,0,0.008,0.092,0.9,100
1.1,15,0.006,0.092,0.902,100
1.1,30,0.007,0.09,0.903,100
1.1,45,0.007,0.088,0.905,100
1.1,60,0.005,0.085,0.91,100
1.2,0,0.008,0.09,0.902,100
1.2,15,0.007,0.088,0.905,100
1.2,30,0.005,0.087,0.908,100
1.2,45,0.003,0.086,0.911,100
1.2,60,0.003,0.084,0.913,100
1.3,0,0.006,0.087,0.907,100
1.3,15,0.006,0.086,0.908,100
1.3,30,0.005,0.084,0.911,100
1.3,45,0.003,0.081,0.916,100
1.3,60,0.002,0.08,0.918,100
1.4,0,0.003,0.083,0.914,100
1.4,15,0.003,0.081,0.916,100
1.4,30,0.002,0.08,0.918,100
1.4,45,0.001,0.077,0.922,100
1.4,60,0.001,0.075,0.924,100
0.6,0,0.01,0.221,0.769,200
0.6,15,0.009,0.22,0.771,200
0.6,30,0.007,0.219,0.774,200
0.6,45,0.005,0.219,0.776,200
0.6,60,0.005,0.215,0.78,200
0.7,0,0.012,0.219,0.769,200
0.7,15,0.01,0.217,0.773,200
0.7,30,0.009,0.214,0.777,200
0.7,45,0.007,0.214,0.779,200
0.7,60,0.005,0.212,0.783,200
0.8,0,0.013,0.218,0.769,200
0.8,15,0.011,0.221,0.768,200
0.8,30,0.011,0.216,0.773,200
0.8,45,0.01,0.213,0.777,200
0.8,60,0.07,0.21,0.72,200
0.9,0,0.013,0.22,0.767,200
0.9,15,0.012,0.219,0.769,200
0.9,30,0.013,0.216,0.771,200
0.9,45,0.01,0.214,0.776,200
0.9,60,0.009,0.211,0.78,200
1,0,0.016,0.219,0.765,200
1,15,0.013,0.219,0.768,200
1,30,0.014,0.218,0.768,200
1,45,0.01,0.217,0.773,200
1,60,0.009,0.216,0.775,200
1.1,0,0.014,0.218,0.768,200
1.1,15,0.011,0.214,0.775,200
1.1,30,0.01,0.215,0.775,200
1.1,45,0.008,0.21,0.782,200
1.1,60,0.007,0.209,0.784,200
1.2,0,0.013,0.219,0.768,200
1.2,15,0.014,0.218,0.768,200
1.2,30,0.011,0.215,0.774,200
1.2,45,0.009,0.213,0.778,200
1.2,60,0.006,0.21,0.784,200
1.3,0,0.013,0.216,0.771,200
1.3,15,0.012,0.214,0.774,200
1.3,30,0.01,0.211,0.779,200
1.3,45,0.008,0.208,0.784,200
1.3,60,0.005,0.207,0.788,200
1.4,0,0.012,0.215,0.773,200
1.4,15,0.011,0.212,0.777,200
1.4,30,0.008,0.211,0.781,200
1.4,45,0.007,0.207,0.786,200
1.4,60,0.004,0.201,0.795,200
